country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,5,6,6,6,6,6,7,7,7,7,,7,7,7,7,7,6,7,7,7,6,7,7,7,7,7,7,7,7,7,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7
Angola,,,,6,6,7,7,7,7,7,,7,7,7,7,7,7,7,7,4,6,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,5,5,5,5,5
Albania,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,6,4,3,4,4,4,4,4,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Andorra,3,4,4,4,4,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UAE,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6
Argentina,3,2,4,4,5,6,5,5,5,5,,3,2,2,1,1,1,2,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Armenia,,,,,,,,,,,,,,,,,,,,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Antigua and Barbuda,,,,,,,,,,2,,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Australia,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Austria,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Azerbaijan,,,,,,,,,,,,,,,,,,,,5,5,6,6,6,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,7,7
Burundi,7,7,7,6,6,6,7,7,6,6,,6,6,6,6,6,6,6,6,6,5,7,7,7,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6
Belgium,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Benin,5,5,6,7,7,7,7,6,6,6,,6,7,7,7,7,7,7,4,3,3,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
Burkina Faso,4,4,4,4,5,4,3,3,5,5,,5,5,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4
Bangladesh,4,4,4,5,4,4,4,3,4,5,,5,5,5,5,5,5,4,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5
Bulgaria,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,4,3,3,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Bahrain,5,5,4,4,4,4,4,4,5,5,,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6
Bahamas,,2,2,2,2,2,2,2,2,2,,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,6,6,6,6,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4
Belarus,,,,,,,,,,,,,,,,,,,,4,3,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7
Belize,,,,,,,,,,2,,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
Bolivia,4,4,5,5,4,4,3,3,5,4,,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Brazil,5,5,4,5,5,5,4,3,3,3,,3,3,2,2,2,3,2,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3
Barbados,1,1,1,1,1,1,1,1,1,1,,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brunei,5,5,5,5,5,,,,,,,,6,5,5,5,6,6,5,5,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Bhutan,4,4,4,4,4,4,5,5,5,5,,5,5,5,5,5,5,5,5,5,6,7,7,7,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4
Botswana,4,3,3,3,3,3,3,2,3,3,,3,3,3,3,3,3,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Central African Republic,7,7,7,7,7,7,7,6,5,5,,5,6,6,6,6,6,6,5,5,5,4,4,4,5,5,4,4,4,5,5,5,5,4,4,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7
Canada,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Switzerland,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chile,2,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
China,7,7,7,7,7,6,6,6,6,6,,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Cote d'Ivoire,6,6,6,5,5,5,5,5,5,5,,5,5,5,5,5,6,5,4,4,4,5,5,5,5,4,4,5,5,4,6,5,6,6,6,5,5,5,6,6,5,4,4,4,4,4,4,4,4,4,4
Cameroon,4,4,4,4,5,5,6,6,6,6,,6,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"Congo, Dem. Rep.",6,6,6,7,6,6,6,6,6,6,,7,7,7,7,7,7,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"Congo, Rep.",7,6,6,6,6,6,7,7,6,6,,6,6,6,6,6,6,6,6,4,3,3,4,4,4,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6
Colombia,2,2,2,3,3,3,3,3,3,3,,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3
Comoros,,,,2,3,4,4,5,5,5,,4,5,6,6,6,6,5,5,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Cape Verde,,,,5,6,6,6,6,6,6,,6,7,7,6,6,6,5,5,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Costa Rica,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cuba,7,7,7,7,6,6,6,6,6,6,,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Cyprus,3,3,4,4,4,4,4,3,3,2,,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Czech Republic,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Germany,4,4,4,4,4,5,4,4,5,5,,5,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Djibouti,,,,,,4,4,4,4,6,,6,6,6,6,6,6,5,5,5,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Dominica,,,,,,,3,2,2,2,,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Denmark,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dominican Republic,2,2,2,2,3,2,2,3,3,2,,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
Algeria,6,6,6,6,6,6,6,6,6,6,,6,6,6,6,6,6,4,4,4,6,6,7,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Ecuador,3,4,4,4,4,4,4,2,2,2,,2,2,3,3,3,2,2,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3
Egypt,6,6,4,4,4,4,5,5,5,5,,5,4,4,4,4,4,4,4,5,6,6,6,6,6,6,6,5,5,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6
Eritrea,,,,,,,,,,,,,,,,,,,,,,5,5,4,4,4,4,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Spain,6,6,5,5,3,3,2,2,3,3,,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Estonia,,,,,,,,,,,,,,,,,,,,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ethiopia,6,6,5,6,6,7,7,7,7,7,,7,7,7,7,7,7,7,7,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6
Finland,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fiji,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3
France,2,2,2,2,1,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gabon,6,6,6,6,6,6,6,6,6,6,,6,6,6,6,6,6,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
UK,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Georgia,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3
Ghana,6,6,5,5,5,5,4,4,3,5,,5,6,6,6,6,6,5,5,6,5,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Guinea,7,7,7,7,7,7,7,7,7,7,,7,5,5,5,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,4,5,5,5,5
Gambia,2,2,2,2,2,2,2,2,3,4,,4,4,4,4,3,3,2,2,2,2,2,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,5,5,5,6,6,6,6,6,5,5,4,4,4,4
Guinea-Bissau,,,6,6,6,6,6,6,6,6,,6,6,6,7,7,7,6,5,5,5,5,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4
Equatorial Guinea,6,6,6,7,7,7,7,6,6,6,,6,6,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Greece,6,5,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Grenada,,,4,4,4,3,3,5,5,5,,6,3,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
