country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,39.5,39.8,39.3,27.6,22.8,23.3,26.6,25.2,25.9,25.9,25.7,26.3,26.2,25.5,26.6,26,26.3,26.9,29.9,28.4,28.4,18.2,16.1,14.7,15.8,15.1,26.9,49.8,53.4,53.9,51.4,51.9,53.8,53.7,52,53.1,54.2,56.6,55.5,55.5,55,53.6,55.3,57.3,52.3,56,33.5
Angola,24.3,27,25.1,25.3,25.6,27.4,27.5,27.3,28.3,27.2,27.8,27.6,26.6,27.3,26.7,28.5,38.5,45.2,46.9,42.7,38.2,40,40.6,42.2,42.2,44,42.3,45.8,49.2,49.2,49.6,51.5,49.8,48.6,48.1,51.1,50,50.7,49.1,49.2,49.4,50.9,51.2,56.3,56.4,56.9,53.3
Albania,7.03,7.28,7.67,7.66,7.5,7.83,7.58,7.43,7.95,8.41,10,10.1,10.5,9.99,10.5,29.7,58.4,64.5,63.7,64.7,63.7,63.9,64.2,68.6,67.8,67.2,67.4,68.7,67.9,68.8,69.4,71.2,73.9,74.7,72.8,74.1,73.8,72,73.8,74,73.8,73.7,73.6,73.4,73.1,69.7,70.2
UAE,38.9,40,41.3,41.2,41.2,40.4,40,40.3,38.7,37.1,38.6,38.7,39.8,39.8,39.3,40,41.1,41.7,41.8,41.1,42.6,43.2,42.3,43,43.3,42.3,42.9,41.1,41.3,39.7,40.7,40.7,41.8,41.2,41,39.8,38.9,39.2,38.9,38.8,38.9,39,38.3,38.1,37.4,37.1,36.4
Argentina,51.9,35.7,29,29,29.3,29.3,32.1,35.2,49.1,77.5,78.8,82.1,81.1,82.5,82.3,84.1,83.1,84,81,82.4,85.3,84,84.2,81.7,82.4,84.5,82,82.1,82.3,81.9,82.1,82,79.9,80.8,80.7,80.1,80.2,79.3,80,78.9,77.6,79,76.1,76.5,76,80.3,76.4
Armenia,,,,,,,,,,,,,,,,,66.3,66.3,63.9,63.8,62.2,60.8,62.6,64.1,64.2,62.4,65,64.7,63.8,60.8,62.3,61.9,60.3,55.9,57.9,59.6,61.1,62.3,63,62.4,62.5,63.1,64.2,69.2,76.8,74.3,71.5
Australia,90.3,90.2,90,90.2,88.1,87.2,88.1,88.1,87.9,88.3,90.3,90,90.3,90,89.9,90.8,90.8,90.7,89.6,90.2,91.1,89.8,88.5,88.1,87.8,89.7,89.7,89.7,89.6,89.9,89.4,89.7,89.7,89,90.5,90.4,91.3,90.5,88.7,88.5,86.6,86.2,82.7,85.2,82.8,84.1,81.7
Austria,89,92.7,92.5,92.8,92.5,92.2,91.6,88.5,88.5,89.1,89.2,89,89,88.8,88.6,89.1,89.1,88.9,88.2,88.2,87.3,88.1,87.5,86.4,87.4,86.6,87.5,87.3,87.1,87.2,87.5,91.5,91.6,91.1,91.5,91.5,88.6,91.3,91.6,91.4,90.8,91.4,90.2,84.9,83.5,84.5,82.7
Azerbaijan,,,,,,,,,,,,,,,,,48,53.3,48.6,45.7,47.3,46.8,46.8,46.7,48.1,48.8,49.9,47.3,45.3,44.1,44.4,43.9,43.2,43,42.4,41.2,41.8,41.8,40.8,42.2,41.6,41.1,45.8,41,43.2,41.7,45.4
Burundi,38.3,38,38.8,38.8,38.7,38.7,39.1,39.1,38.7,37.1,37,37.4,38.8,38.4,39.3,39.6,38.3,54.5,54.5,54.9,55.2,48.2,47.2,48.7,46.9,47.3,49.5,49.5,50.6,50,51.6,53.7,52.7,51.5,52.8,46.5,51.1,52.1,48.6,44.1,29.9,28,25.1,27.9,29.8,31,34.4
